@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.wssyncmldm, tw.edu.ntu.ee.arbor.apeic, com.sec.android.app.launcher}
@data
1, 5, -1, STILL, tw.edu.ntu.ee.arbor.apeic
1, 5, 0, STILL, com.sec.android.app.launcher
2, 5, 0, STILL, com.sec.android.app.launcher
1, 6, 0, STILL, com.wssyncmldm
3, 6, 0, STILL, com.wssyncmldm
3, 6, 0, STILL, com.sec.android.app.launcher
3, 6, 0, STILL, tw.edu.ntu.ee.arbor.apeic
0, 6, 0, STILL, com.sec.android.app.launcher
0, 6, 0, UNKNOWN, com.sec.android.app.launcher
1, 6, 0, STILL, com.sec.android.app.launcher
0, 6, 0, STILL, com.wssyncmldm
0, 6, 0, TILTING, com.sec.android.app.launcher
0, 6, 0, STILL, tw.edu.ntu.ee.arbor.apeic
1, 6, 0, STILL, com.sec.android.app.launcher
