@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.dropbox.android, com.htc.video, com.android.chrome, com.cleanmaster.mguard, com.fitnesskeeper.runkeeper.pro, com.facebook.orca, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, com.tul.aviate, com.android.htcdialer, com.htc.lmw, com.android.vending, com.anydo, com.android.packageinstaller, com.htc.calendar, com.google.android.googlequicksearchbox, com.twitter.android, com.android.htccontacts, com.android.phone, gogolook.callgogolook2, android, ch.bitspin.timely, com.htc.htcpowermanager, com.google.android.music, com.google.android.gm, com.StorySense.WhatsTheNumberLite, com.android.systemui, com.anydo.cal, com.google.android.apps.genie.geniewidget, qr.barcode.mttb1, com.cleanmaster.security, kr.co.vcnc.android.couple, com.htc.album, jp.naver.line.android, com.google.android.apps.maps, com.contapps.android, com.android.settings, com.android.mms, com.android.camera, nexti.android.bustaipei}
@data
2, 5, -1, STILL, tw.edu.ntu.ee.arbor.apeic
3, 5, 7, STILL, jp.naver.line.android
1, 5, 7, STILL, com.tul.aviate
1, 5, 7, TILTING, com.tul.aviate
1, 5, 7, STILL, com.android.htccontacts
1, 5, 7, TILTING, com.tul.aviate
2, 5, 7, STILL, com.tul.aviate
2, 5, 7, TILTING, com.facebook.orca
2, 5, 7, TILTING, com.android.chrome
2, 5, 7, TILTING, com.tul.aviate
2, 6, 7, STILL, ch.bitspin.timely
3, 6, 7, STILL, ch.bitspin.timely
3, 6, 7, TILTING, ch.bitspin.timely
0, 6, 7, TILTING, ch.bitspin.timely
0, 6, 7, STILL, com.tul.aviate
1, 6, 7, STILL, com.tul.aviate
1, 6, 7, TILTING, com.tul.aviate
2, 6, 7, TILTING, com.anydo.cal
2, 6, 7, TILTING, com.facebook.orca
2, 6, 7, UNKNOWN, com.anydo.cal
2, 6, 7, TILTING, com.tul.aviate
2, 6, 7, TILTING, com.tul.aviate
2, 6, 7, TILTING, com.android.camera
2, 6, 7, TILTING, com.htc.album
2, 6, 7, TILTING, com.tul.aviate
2, 6, 7, STILL, com.android.camera
2, 6, 7, STILL, com.htc.album
3, 6, 7, TILTING, com.tul.aviate
3, 6, 7, STILL, com.anydo.cal
0, 6, 7, TILTING, com.tul.aviate
0, 6, 7, TILTING, com.tul.aviate
1, 6, 7, UNKNOWN, ch.bitspin.timely
0, 7, 7, STILL, ch.bitspin.timely
2, 7, 7, TILTING, ch.bitspin.timely
2, 7, 7, TILTING, com.tul.aviate
2, 7, 7, STILL, com.android.settings
2, 7, 7, TILTING, com.android.settings
2, 7, 7, UNKNOWN, com.tul.aviate
2, 7, 7, TILTING, com.android.htccontacts
2, 7, 7, TILTING, com.android.phone
2, 7, 7, TILTING, com.android.htccontacts
2, 7, 7, TILTING, com.android.htccontacts
2, 7, -1, ON_FOOT, com.android.settings
2, 7, -1, ON_FOOT, com.android.chrome
2, 7, 6, UNKNOWN, com.twitter.android
2, 7, -1, ON_FOOT, com.facebook.katana
2, 7, -1, ON_FOOT, com.android.chrome
