@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {jp.naver.line.android, com.android.browser, com.cleanmaster.mguard, com.xiangyun.xyecdict, com.htc.android.worldclock, com.bitknights.dict.engger.free, com.facebook.orca, org.wikipedia, com.android.settings, com.android.chrome, com.mycolorscreen.themer, com.google.android.youtube, com.ascendo.android.dictionary.de.free, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, com.google.android.gm, com.android.systemui, com.rifartek.nthuspace, com.nextmediatw, com.sds.android.ttpod, tunein.player}
@data
0, 2, 3, STILL, tw.edu.ntu.ee.arbor.apeic
0, 2, 3, STILL, com.facebook.katana
0, 2, -1, TILTING, com.facebook.katana
0, 2, 3, TILTING, com.facebook.katana
0, 2, -1, TILTING, com.mycolorscreen.themer
0, 2, -1, STILL, jp.naver.line.android
0, 2, -1, STILL, com.facebook.katana
1, 2, 3, STILL, com.facebook.katana
1, 2, 3, TILTING, com.mycolorscreen.themer
1, 2, 3, STILL, com.google.android.youtube
1, 2, 3, STILL, com.android.browser
1, 2, -1, TILTING, com.google.android.gm
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, UNKNOWN, com.nextmediatw
1, 2, -1, STILL, com.android.chrome
1, 2, -1, STILL, com.sds.android.ttpod
1, 2, -1, UNKNOWN, com.mycolorscreen.themer
1, 2, -1, STILL, com.google.android.youtube
1, 2, 2, STILL, com.facebook.katana
1, 2, 2, UNKNOWN, com.android.chrome
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, STILL, com.android.chrome
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, STILL, org.wikipedia
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, UNKNOWN, com.android.chrome
1, 2, -1, UNKNOWN, com.facebook.katana
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, STILL, com.google.android.youtube
1, 2, -1, UNKNOWN, com.mycolorscreen.themer
1, 2, -1, TILTING, com.facebook.katana
1, 2, -1, UNKNOWN, tunein.player
1, 2, -1, STILL, com.facebook.katana
1, 2, -1, TILTING, com.mycolorscreen.themer
1, 2, -1, UNKNOWN, com.android.settings
1, 2, -1, TILTING, com.xiangyun.xyecdict
2, 2, -1, TILTING, com.facebook.katana
2, 2, -1, STILL, com.cleanmaster.mguard
