@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.htc.launcher, com.android.chrome, com.google.android.apps.maps, com.facebook.orca, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, tw.com.alshatech.bikerker, com.google.android.apps.unveil, mobi.infolife.cache, com.wantoto.gomaji2, com.android.vending, com.android.packageinstaller, com.adobe.reader, com.google.android.apps.plus, com.google.android.youtube, com.android.htccontacts, com.android.phone, android, com.android.calculator2, jp.naver.line.android, com.google.android.calendar, com.android.systemui, com.joshua.jptt, com.google.android.gm, com.cht.tl334.chtwifi, com.htc.android.worldclock, com.android.settings, com.popularapp.periodcalendar, com.android.mms, net.rgruet.android.g3watchdog, nexti.android.bustaipei}
@data
2, 7, 3, STILL, com.android.chrome
2, 7, 3, TILTING, com.htc.launcher
2, 7, 3, UNKNOWN, com.android.chrome
2, 7, 3, STILL, com.htc.launcher
2, 7, 3, STILL, com.google.android.gm
2, 7, 3, STILL, com.android.packageinstaller
2, 7, 3, STILL, com.android.chrome
2, 7, 3, UNKNOWN, com.google.android.apps.maps
2, 7, 3, UNKNOWN, com.google.android.apps.maps
2, 7, 3, STILL, jp.naver.line.android
2, 7, 3, STILL, com.google.android.apps.maps
2, 7, 3, STILL, com.android.chrome
3, 7, 3, UNKNOWN, com.facebook.katana
0, 7, 3, TILTING, com.facebook.katana
0, 7, 3, TILTING, com.google.android.gm
0, 7, 3, UNKNOWN, com.android.mms
0, 7, 3, TILTING, com.htc.launcher
0, 7, 3, UNKNOWN, com.google.android.apps.maps
0, 7, 3, TILTING, com.htc.launcher
0, 7, 3, TILTING, com.google.android.apps.maps
1, 7, -1, UNKNOWN, com.google.android.apps.maps
1, 7, -1, TILTING, com.htc.launcher
1, 7, 2, TILTING, com.google.android.apps.maps
