@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.android.settings, com.android.systemui, com.htc.launcher, com.android.browser, com.android.camera}
@data
1, 4, 0, TILTING, com.htc.launcher
1, 4, 0, UNKNOWN, com.android.settings
1, 4, 0, TILTING, com.android.settings
1, 4, 0, UNKNOWN, com.htc.launcher
1, 4, 0, UNKNOWN, com.android.camera
1, 4, 0, TILTING, com.android.systemui
2, 4, 0, STILL, com.htc.launcher
1, 4, 0, TILTING, com.android.systemui
2, 4, 0, TILTING, com.htc.launcher
2, 4, 0, UNKNOWN, com.android.settings
2, 4, 0, TILTING, com.android.settings
2, 4, 0, STILL, com.android.settings
2, 4, 0, UNKNOWN, com.android.browser
0, 4, 0, TILTING, com.htc.launcher
2, 4, 0, TILTING, com.htc.launcher
2, 4, 0, UNKNOWN, com.android.settings
2, 4, 0, TILTING, com.android.settings
2, 4, 0, STILL, com.android.settings
2, 4, 0, UNKNOWN, com.android.browser
